Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export Trade Value (US$ Thousand),Export Partner Share (%)
China,United States,2013,Export,3572,79.7,369063858.6,16.71
China,Japan,2013,Export,3374,75.28,150132589,6.8
China,"Korea, Rep.",2013,Export,3346,74.65,91164951.03,4.13
China,South Asia,2013,Export,3222,71.89,75247607.89,3.41
China,Sub-Saharan Africa,2013,Export,3051,68.07,67402464.4,3.05
China,Germany,2013,Export,3029,67.58,67342500.44,3.05
China,Netherlands,2013,Export,2418,53.95,60314751.57,2.73
China,United Kingdom,2013,Export,2969,66.24,50942127.63,2.31
China,Russian Federation,2013,Export,2844,63.45,49591171.96,2.25
China,Vietnam,2013,Export,,,48586298.2,2.2
China,"Korea, Rep.",2013,Import,2435,57.55,183072918.4,9.39
China,North America,2013,Import,2884,68.16,178631833.1,9.16
China,Japan,2013,Import,2930,69.25,162245572.8,8.32
China,China,2013,Import,2141,50.6,157540887.6,8.08
China,United States,2013,Import,2827,66.82,153394862,7.87
China,Australia,2013,Import,883,20.87,98954088.03,5.07
China,Germany,2013,Import,2503,59.16,94156749.71,4.83
China,Malaysia,2013,Import,1056,24.96,60153183.87,3.08
China,Switzerland,2013,Import,1131,26.73,56191550.34,2.88
China,Brazil,2013,Import,529,12.5,54299122.65,2.78
