Reporter Name,Partner Name,Year,Trade Flow,No Of imported HS6 digit Products,Import Share in Total Products (%),Import Trade Value (US$ Thousand),Import Partner Share (%),AHS Simple Average (%),AHS Weighted Average (%),AHS Total Tariff Lines,AHS Dutiable Tariff Lines Share (%),AHS Duty Free Tariff Lines Share (%),AHS Specific Tariff Lines Share (%),AHS AVE Tariff Lines Share (%),AHS MaxRate (%),AHS MinRate (%),AHS SpecificDuty Imports(US$ Thousand),AHS Dutiable Imports (US$ Thousand),AHS Duty Free Imports (US$ Thousand),MFN Simple Average (%),MFN Weighted Average (%),MFN Total Tariff Lines,MFN Dutiable Tariff Lines Share (%),MFN Duty Free Tariff Lines Share (%),MFN Specific Tariff Lines Share (%),MFN AVE Tariff Lines Share (%),MFN MaxRate (%),MFN MinRate (%),MFN SpecificDuty Imports (US$ Thousand),MFN Dutiable Imports (US$ Thousand),MFN Duty Free Imports (US$ Thousand),No Of Tariff Agreement
United States,China,2013,Import,3572,79.8,460007637.8,19.76,3.46,2.78,10497,49.65,42.77,1.94,5.63,420.85,0,2995083.49,232308029.7,223061572.9,3.46,2.78,10497,49.65,42.77,1.94,5.63,420.85,0,2995083.49,232308029.7,223061572.9,
United States,Canada,2013,Import,2999,67,336685686.3,14.46,0.1,0.09,10201,0.3,98.2,0.06,1.44,131.8,0,275287.38,3520421.8,320765550.2,3.17,1.87,10201,47.56,43.53,1.73,7.18,420.85,0,97542418.81,230583164.5,93702807.5,1
United States,Mexico,2013,Import,2470,55.18,283043473,12.16,0.03,0.02,9191,1.32,98.35,0.03,0.3,131.8,0,5879.23,1598091.25,273992013.5,3.49,2.52,9191,49.71,41.17,2.14,6.97,350,0,37605831.94,205408450.5,70181654.24,1
United States,Japan,2013,Import,2497,55.79,142148496.7,6.11,3.44,1.22,9422,50.87,42.66,2,4.48,420.85,0,2290503.1,94954544.05,43658109.39,3.44,1.22,9422,50.87,42.66,2,4.48,420.85,0,2290503.1,94954544.05,43658109.39,
United States,Germany,2013,Import,2874,64.21,116913837.9,5.02,3.32,1.19,9859,49.79,42.74,1.96,5.51,420.85,0,767686.93,69162189.7,44033699.99,3.32,1.19,9859,49.79,42.74,1.96,5.51,420.85,0,767686.93,69162189.7,44033699.99,
United States,"Korea, Rep.",2013,Import,2048,45.76,64989600.91,2.79,0.65,0.52,8229,13.93,84.37,0.27,1.43,78.65,0,109632.25,19838690.04,43945970.54,3.45,1.43,8229,51.5,42.35,1.58,4.57,98.37,0,3042065.89,36550465.84,27234194.74,1
United States,United Kingdom,2013,Import,2426,54.2,53588787.18,2.3,3.36,1.72,9595,50.26,42.32,1.98,5.44,420.85,0,7513663.72,25302154.36,23862969.37,3.36,1.72,9595,50.26,42.32,1.98,5.44,420.85,0,7513663.72,25302154.36,23862969.37,
United States,Saudi Arabia,2013,Import,105,2.35,53098031.51,2.28,2.89,2.72,1443,48.37,46.64,2.22,2.77,38,0,51761737.29,52275545.5,654612.81,2.89,2.72,1443,48.37,46.64,2.22,2.77,38,0,51761737.29,52275545.5,654612.81,
United States,France,2013,Import,2327,51.99,46339863.58,1.99,3.58,1.38,9314,51,40.98,1.91,6.11,350,0,2249421.42,16381306.77,26877880.93,3.58,1.38,9314,51,40.98,1.91,6.11,350,0,2249421.42,16381306.77,26877880.93,
United States,India,2013,Import,2193,48.99,43342290.06,1.86,3.73,3.21,8894,52.32,40.38,1.65,5.66,350,0,4122382.91,22882710.36,19941730.8,3.73,3.21,8894,52.32,40.38,1.65,5.66,350,0,4122382.91,22882710.36,19941730.8,
United States,Canada,2013,Export,3921,87,300175625.1,19.02,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Mexico,2013,Export,3481,77.24,226152895.8,14.33,,,,,,,,,,,,,,,,,,,,,,,,,
United States,China,2013,Export,2827,62.72,122016244.7,7.73,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Japan,2013,Export,2642,58.62,65142508.22,4.13,,,,,,,,,,,,,,,,,,,,,,,,,
United States,United Kingdom,2013,Export,2902,64.39,47346331.35,3,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Germany,2013,Export,2706,60.04,46944882.32,2.98,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Brazil,2013,Export,2281,50.61,44115969.37,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
United States,Netherlands,2013,Export,2043,45.33,42652488.91,2.7,,,,,,,,,,,,,,,,,,,,,,,,,
United States,"Hong Kong, China",2013,Export,,,42431219.31,2.69,,,,,,,,,,,,,,,,,,,,,,,,,
United States,"Korea, Rep.",2013,Export,2592,57.51,41554498.11,2.63,,,,,,,,,,,,,,,,,,,,,,,,,
