Reporter Name,Partner Name,Year,Trade Flow,No Of exported HS6 digit Products,Export Share in Total Products (%),Export Trade Value (US$ Thousand),Export Partner Share (%)
France,Germany,2013,Export,3207,72.2,93187095.43,16.44
France,Belgium,2013,Export,3385,76.2,43594691.74,7.69
France,Italy,2013,Export,3359,75.62,40242985,7.1
France,United Kingdom,2013,Export,2932,66.01,39115149.15,6.9
France,Spain,2013,Export,3169,71.34,38346129.07,6.76
France,United States,2013,Export,2327,52.39,35789834.65,6.31
France,Netherlands,2013,Export,2462,55.43,23262887.77,4.1
France,China,2013,Export,1920,43.22,19590029.79,3.46
France,Switzerland,2013,Export,2546,57.32,17372520.11,3.06
France,Russian Federation,2013,Export,1628,36.65,10208780.13,1.8
France,Germany,2013,Import,3761,83.95,114204499.1,17.08
France,China,2013,Import,2719,60.69,53843066.19,8.05
France,Belgium,2013,Import,3195,71.32,52359587.15,7.83
France,Italy,2013,Import,3361,75.02,47677667.9,7.13
France,United States,2013,Import,2355,52.57,43411343.37,6.49
France,Spain,2013,Import,3086,68.88,40691689.22,6.09
France,Netherlands,2013,Import,2777,61.99,28878910.13,4.32
France,United Kingdom,2013,Import,2732,60.98,27539345.34,4.12
France,Switzerland,2013,Import,1719,38.37,16927066.96,2.53
France,Russian Federation,2013,Import,325,7.25,14062650.53,2.1
